,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
27,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748904:bba11948-1075-4347-8961-085010d67cc0,1607893748904:30f14fb9-5669-485f-913a-49edd89dbf90
60,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748903:1b5795f7-cdef-4957-a36d-46ba0b47b672,1607893748903:d6eef093-57d8-43ba-bc8a-50b2d7d3b66f
77,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748903:1b5795f7-cdef-4957-a36d-46ba0b47b672,1607893748903:b15eb52d-aaae-4865-bf0f-76fde1ac75d9
78,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748903:1b5795f7-cdef-4957-a36d-46ba0b47b672,1607893748903:b15eb52d-aaae-4865-bf0f-76fde1ac75d9
103,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748903:1b5795f7-cdef-4957-a36d-46ba0b47b672,1607893748903:074e1fac-d31c-4d18-a6a7-388532b26c8e
151,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748902:42cd9c57-49f1-4d3c-8770-9898b8e455c8,1607893748902:91023eb0-ecdc-4fdc-aa8d-8524c25bd6d9
159,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748902:42cd9c57-49f1-4d3c-8770-9898b8e455c8,1607893748902:20c37411-cad6-4308-9231-94ae22baf8d6
169,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748902:42cd9c57-49f1-4d3c-8770-9898b8e455c8,1607893748902:0de17bb2-9f0c-410d-949b-99707ffcdfda
294,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748901:5e74cf0c-c7aa-44f5-8615-0ec7b3e06cdb,1607893748901:8bd45ec7-383c-4ab5-be43-00b0a0b40dff
367,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748899:479cad78-0fc6-40c9-bbf8-60880030ddb3,1607893748900:9affc03f-d008-470f-9b1d-c576e954150a
397,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748899:479cad78-0fc6-40c9-bbf8-60880030ddb3,1607893748899:8fa41e86-ea53-4f2f-a06a-87b366712000
591,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748896:3d7dd502-6706-4e93-af7d-fc1370172a32,1607893748896:af31b69f-fbe2-4222-a890-d2672efd812e
773,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748892:94160a9d-32a5-4443-bf94-49538bc1d961,1607893748892:6db3d70a-174c-4f8f-922b-444f626ee1d2
832,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748891:6bf6ca0b-088c-445c-bd22-d2a1cd750c67,1607893748891:e8132a36-b8fb-4ace-a733-f8b7187ecfb7
1211,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748888:e96096a3-5fd3-43b4-98bc-66f30c1403e5,1607893748889:5e99f95c-b395-41bd-9c0c-3cfe7358a132
1517,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748885:2b19480b-8bf7-44f1-ad77-700c157a8339,1607893748885:58c4e319-d834-47d6-b66d-c48cc68578b1
1660,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748883:bd593fdb-872a-42b2-833c-5aaea7c916dd,1607893748883:958c2327-1fd2-493d-9d88-8331c8da28a1
3296,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748867:0da14f02-7ff5-4e1d-b726-6b18420f7238,1607893748867:3715aa0b-503d-4ca4-a144-d7b2ba46ec13
4507,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748855:510fb500-5f44-4fb8-a5ed-8c35d110ac5c,1607893748855:dcd13e54-9ad8-49e8-a5f1-cb961e39c23d
6924,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""9""",Yes,1607893748830:5a5da9a7-a2e0-4be7-b43b-8a633eb4f933,1607893748830:152b372d-8c33-40b0-ba31-2dcfe7ffd426
13832,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748748:29bdbb1a-12de-406c-9bc7-5ad33f90a364,1607893748748:64424414-4027-4616-b9f5-0a69a78ce045
24774,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748597:68e04a25-f670-4732-8b0a-5e4b00dbab9e,1607893748597:2f9dc022-5d1d-4dfd-a654-702b84542c68
25586,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748588:22ee2b27-8c6f-43c1-96f3-e69eee81b167,1607893748588:66773102-72e4-4b3d-9f61-c25d360bb289
26098,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748578:9969f993-4500-4623-816a-a65b29ae25c9,1607893748579:53471768-63f3-4622-9245-7e95a3f2f5db
30968,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""9""",Yes,1607893748509:aa6621a0-a82b-462d-9e5d-10891f87a213,1607893748509:c937036e-2270-41da-96f5-dac08df44a4e
53256,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893748111:79fc71aa-e290-49a4-b2b8-bf6fb1637ac1,1607893748112:3b5aa760-237e-4c34-bb9a-3d25868551ff
